# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000      101.023     8199.289
       1.003       47.900      511.203     8199.289
       2.004       48.900      939.430     8199.289
       3.006       48.900     1367.914     8199.289
       4.007       48.900     1781.188     8199.289
       5.009       49.900     2206.320     8199.289
       6.010       50.900     2624.750     8199.289
       7.012       48.900     3056.070     8199.289
       8.014       48.900     3485.328     8199.289
       9.015       49.900     3910.977     8199.289
      10.017       49.900     4343.328     8199.289
      11.018      118.900     4756.629     8447.316
      12.020      797.700     4848.043     8447.316
      13.022      799.700     4900.594     8447.316
      14.023      800.700     5013.797     8447.316
      15.025      798.700     5031.586     8447.316
      16.026      801.700     5067.676     8447.316
      17.028      798.700     5139.746     8447.316
      18.030      798.700     5229.730     8447.316
      19.031      801.700     5278.879     8447.316
      20.033      794.700     5395.641     8447.316
      21.035      734.800     5837.371     8447.316
      22.036      525.200     6029.855     8447.316
      23.038      308.500     6146.543     8447.316
      24.040      303.500     6350.449     8447.316
      25.041      350.500     6595.176     8447.316
      26.043      328.500     6848.051     8447.316
      27.044      217.700     6986.293     8447.316
      28.046      183.700     7083.430     8447.316
      29.047      219.600     7164.203     8447.316
      30.049      219.600     7276.262     8447.316
      31.051      211.700     7398.758     8447.316
      32.052      167.700     7462.980     8447.316
      33.054      237.600     7587.414     8447.316
      34.056      257.600     7676.105     8447.316
      35.057      193.700     7727.547     8447.316
      36.059      178.700     7801.152     8447.316
      37.061      162.700     7881.480     8447.316
      38.062      182.700     7980.352     8447.316
      39.064      154.800     8030.832     8447.316
      40.065      130.800     8044.312     8447.316
      41.067      124.800     8061.398     8447.316
      42.068      151.800     8099.680     8447.316
      43.070      114.800     8137.613     8447.316
      44.071      134.800     8193.516     8447.316
      45.073       60.900     8194.125     8447.316
      46.074      505.100     8194.152     8447.316
      47.076      175.700      958.512     8423.305
      48.077       99.800     1611.355     4327.305
      49.079      100.800     3328.902     4327.305
      50.081       98.800     4390.570     8423.309
      51.082      100.800     4390.570     8423.309
      52.084       99.800     4390.570     8423.309
      53.086       99.800     4390.570     8423.309
      54.087      100.800     4390.570     8423.309
      55.089       99.800     4390.570     8423.309
      56.091       99.800     4390.570     8423.309
      57.092       54.900        2.137      231.301
      58.094       11.000        2.137      231.301
      59.096       11.000        2.137      231.301
      60.097       11.000        2.137      231.301
      61.099       11.000        2.137      231.301
      62.100       11.000        2.137      231.301
      63.102       11.000        2.137      231.301
      64.104       11.000        2.137      231.301
      65.105       11.000        2.137      231.301
Records: 40000000
Checksum: 1312774ebf75c93
Duplicate keys: 0
SUCCESS - all records are in order
