# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000      101.984     8199.289
       1.003       47.900      525.828     8199.289
       2.004       49.900      957.664     8199.289
       3.006       46.900     1384.859     8199.289
       4.008       49.900     1815.406     8199.289
       5.009       49.900     2244.664     8199.289
       6.011       47.900     2677.273     8199.289
       7.013      452.300     3096.125    13247.785
       8.014     2405.300     3446.980    13247.785
       9.015     2116.200     5273.492    13247.785
      10.016      839.800     5985.852    13311.785
      11.018      434.300     6228.043    13311.785
      12.019      405.400     6438.902    13311.785
      13.021      445.400     6635.418    13311.785
      14.022      575.100     6730.129    13311.785
      15.024      458.300     6931.949    13311.785
      16.025      406.400     7137.949    13311.785
      17.027      397.400     7333.883    13311.785
      18.028      406.400     7523.117    13311.785
      19.030      352.400     7665.289    13311.785
      20.032      313.500     7814.012    13311.785
      21.033      339.500     7983.195    13311.785
      22.035      235.600     8075.305    13311.785
      23.036      245.600     8175.457    13311.785
      24.038       44.900     8194.668    12327.305
      25.040       19.000     8194.668    12327.305
      26.041       18.000     8194.668    12327.305
      27.043       20.000     8194.668    12327.305
      28.044       35.900     8194.668    12327.305
      29.046       40.900     8194.668    12327.305
      30.048       39.900     8194.668    12327.305
      31.049       40.900     8194.668    12327.305
      32.051       40.900     8194.668    12327.305
      33.052      331.500     8195.211    13311.785
      34.053     2397.800     8195.578    13311.785
      35.054     2282.200     8195.664    13311.785
      36.055     1421.000     8195.668    13311.785
      37.057      550.200     8195.668    13311.785
      38.058      415.400     8195.668    13311.785
      39.060      486.300     8195.668    13311.785
      40.061      371.400     8195.668    13311.785
      41.063      451.300     8195.668    13311.785
      42.064      438.400     8195.668    13311.785
      43.066      421.400     8195.668    13311.785
      44.067      446.300     8195.668    13311.785
      45.069      357.400     8195.668    13311.785
      46.070      312.700     8195.668    13311.785
      47.071      305.500     8195.668    13311.785
      48.073      278.500     8195.668    13311.785
      49.075       54.900     8194.707    12327.305
      50.076       34.900     8194.707    12327.305
      51.078       35.900     8194.707    12327.305
      52.079       36.900     8194.707    12327.305
      53.081       35.900     8194.707    12327.305
      54.082       36.900     8194.707    12327.305
      55.084       37.900     8194.707    12327.305
      56.085     2020.100     8195.477    13311.785
      57.087     2363.800     8195.711    13311.785
      58.088     1075.500     8195.715    13311.785
      59.090      425.400     8195.715    13311.785
      60.091      404.400     8195.715    13311.785
      61.093      420.400     8195.715    13311.785
      62.094      396.400     8195.715    13311.785
      63.095      430.400     8195.715    13311.785
      64.097      414.400     8195.715    13311.785
      65.098      419.600     8195.715    13311.785
      66.099      370.400     8195.715    13311.785
      67.101      364.500     8195.715    13311.785
      68.102      354.500     8195.715    13311.785
      69.104      266.600     8195.715    13311.785
      70.106      120.800     8194.754    12327.305
      71.107       17.000     8194.754    12327.305
      72.109       20.000     8194.754    12327.305
      73.110       35.900     8194.754    12327.305
      74.112       35.900     8194.754    12327.305
      75.114       36.900     8194.754    12327.305
